codigo_material_recibido,cantidad_actual
EAD63911501-2601060011,500
EAD63911501-2601060010,500
EAD63911501-2601060009,500
EAD63911501-2601060008,500
EAD63911501-2601060007,500
EAD63911501-2601060006,500
EAD63911501-2601060005,500
EAD63911501-2601060004,500
EAD63911501-2601060003,500
EAD63911501-2601060002,500
EAD63911501-2601060001,500
EAD63911501-2601060012,500
EAD63911501-2512230004,500
EAD63911501-2512230003,500
EAD63911502-2512160003,1000
EAD63911502-2512160002,970
EAD63911502-2512090001,1000
EAD63911501-2512090009,500
EAD63911501-2512090007,500
EAD63911502-2511260003,1000
EAD62502001-2601060001,2000
EAD62502001-2512010001,2000
EAD63911503-2501290001,5
EAD62502001-2510220003,2000
EAD63686843-2509020001,1000
EAD63911508-2509020004,150
EAD63911508-2509020003,150
EAD63911508-2509020002,42
EAD63911508-2509020001,26
EAD63911508-2509020008,150
EAD63911508-2509020007,150
EAD63911508-2509020006,150
EAD63911508-2509020005,150
1TCL0302818-2601060006,5000
1TCL0302818-2601060005,5000
1TCL0302818-2601060004,5000
1TCL0302818-2601060002,5000
1TCL0302818-2601060003,5000
1TCL0302818-2601060001,5000
EBF61314813-2601060010,1000
EBF61314813-2601060009,1000
EBF61314813-2601060008,1000
EBF61314813-2601060007,1000
EBF61314813-2601060006,1000
EBF61314813-2601060004,1000
EBF61314813-2601060005,1000
EBF61314813-2601060003,1000
EBF61314813-2601060002,1000
EBF61314813-2601060001,1000
EBR71326807-2601060008,1000
EBR71326807-2601060009,1000
EBR71326807-2601060007,1000
EBR71326807-2601060006,1000
EBR71326807-2601060004,1000
EBR71326807-2601060005,1000
EBR71326807-2601060003,1000
EBR71326807-2601060001,1000
EBR71326807-2601060002,1000
EBF61314813-2512160005,1000
EBF61314813-2512160002,1000
1TCL0302818-2512160006,5000
1TCL0302818-2512160005,5000
1TCL0302818-2512160003,5000
1TCL0302818-2512160002,5000
1TCL0302818-2512160001,5000
EBR71326807-2512030019,1000
EBF61314813-2512020012,1000
EBF61314813-2512020009,1000
EBF61314813-2511260005,1000
1TCL0302818-2511260012,5000
1TCL0302818-2511260011,5000
1TCL0302818-2511260009,5000
EBR71326807-2510040002,1000
EBF61314813-2511200002,1000
EBF61314813-2511180006,1000
C5400JA3007-2512170005,2000
C5400JA3007-2512170004,2000
C5400JA3007-2512170003,2000
C5400JA3007-2512030010,2000
C5400JA3007-2512030009,2000
C5400JA3007-2512030008,2000
C5400JA3007-2512030007,2000
C5400JA3007-2512030006,2000
EBR32418503-2509300001,980
491110014-2512170015,20
491110014-2512170014,20
491110014-2512170013,20
491110014-2512170011,20
491110014-2512170012,20
491110014-2512170010,20
491110014-2512170009,20
491110014-2512170008,20
491110014-2512170007,20
491110014-2512170006,20
491110014-2512170002,20
491110014-2512170001,20
491110014-2512120015,20
491110014-2512120014,20
491110014-2512120013,20
491110014-2512120012,20
491110014-2512120011,20
491110014-2512120010,20
491110014-2512120009,20
491110014-2512120008,20
491110014-2512120007,20
491110014-2512120006,20
491110014-2512120005,20
491110014-2512120004,20
491110014-2512120003,20
491110014-2512120002,20
491110014-2512120001,20
491110014-2512100015,20
491110014-2512100014,20
491110014-2512100013,20
491110014-2512100012,20
491110014-2512100011,20
491110014-2512100010,20
491110014-2512100009,20
491110014-2512100008,20
491110014-2512100007,20
491110014-2512100006,20
491110014-2512100005,20
491110014-2512100004,20
491110014-2512100001,20
491110014-2512030025,20
491110014-2512030021,20
491110014-2512030020,20
491110014-2512030019,20
491110014-2512030018,20
491110014-2512030017,20
491110014-2512030016,20
491110014-2512030015,20
491110014-2512030014,20
491110014-2512030011,20
491110014-2512030010,20
491110014-2512030009,20
491110014-2512030008,20
491110014-2512030007,20
491110014-2512030006,20
491110014-2512030005,20
491110014-2512030004,20
491110014-2512030003,20
491110014-2512030002,20
491110014-2512030001,20
491110014-2511260020,20
491110014-2511260019,20
491110014-2511260018,20
491110014-2511260017,20
491110014-2511260016,20
491110014-2511260015,20
491110014-2511260014,20
491110014-2511260013,20
491110014-2511260012,20
491110014-2511260011,20
491110014-2511260010,20
491110014-2511260009,20
491110014-2511260008,20
491110014-2511260007,20
491110014-2511260006,20
491110014-2511260005,20
491110014-2511260004,20
491110014-2511260003,20
491110014-2511260002,20
491110014-2511260001,20
491110014-2511110007,20
491110014-2511110012,20
491110014-2510270015,20
491110014-2510270018,20
491110014-2511110010,20
491110014-2511070011,20
491110014-2511110018,20
491110014-2511070006,20
491110014-2511110006,20
491110014-2511110015,20
491110014-2511070008,20
491110014-2511070007,20
491110014-2511070004,20
491110014-2505220008,20
491110014-2505220005,20
491110014-2505220007,20
491110014-2506210002,20
491110014-2506210005,20
491110014-2506250010,20
491110014-2506250005,20
491110014-2505220006,20
491110014-2506120001,20
491110014-2506210004,20
491110014-2506250009,20
491110014-2505220004,20
491110014-2506020001,20
491110014-2506120002,20
491110014-2506020002,20
491110014-2506210001,20
491110014-2506210003,20
491110014-2506250004,20
491110014-2506250006,20
491110014-2506250007,20
491110014-2507210010,20
491110014-2507210020,20
491110014-2507210012,20
491110014-2507210018,20
491110014-2507210015,20
491110014-2510160018,20
491110014-2507210013,20
491110014-2507210014,20
491110013-2508190003,20
491110013-2508270025,20
491110013-2509110018,20
491110013-2509110006,20
491110013-2507250011,20
491110013-2508190007,20
491110013-2508270024,20
491110013-2509040022,20
491110013-2509110019,20
491110013-2509110007,20
491110013-2508190005,20
491110013-2508270023,20
491110013-2509040021,20
491110013-2509110017,20
491110013-2509110005,20
491110013-2507250006,20
491110013-2508190006,20
491110013-2508270022,20
491110013-2509040020,20
491110013-2509110016,20
491110013-2509110004,20
491110013-2508050008,20
491110013-2507300015,20
491110013-2508270021,20
491110013-2509040019,20
491110013-2509110015,20
491110013-2509110010,20
491110013-2508050013,20
491110013-2508270016,20
491110013-2508270020,20
491110013-2509040018,20
491110013-2507300009,20
491110013-2508270015,20
491110013-2508050014,20
491110013-2507300013,20
491110013-2508270014,20
491110013-2509300001,20
491110013-2509300002,20
491110013-2509300005,20
491110013-2509300006,20
491110013-2507250009,20
491110013-2507250013,20
491110013-2508050005,20
491110013-2509300007,20
491110013-2508270010,20
491110013-2507250008,20
491110013-2508050010,20
491110013-2508270019,20
491110013-2509040011,20
491110013-2507250003,20
491110013-2507300001,20
491110013-2509110025,20
491110013-2508270011,20
491110013-2509040017,20
491110013-2509110008,20
491110013-2508270009,20
491110013-2509110001,20
491110013-2508270013,20
7245ZB0004E-2601050020,1
7245ZB0004E-2601050019,1
7245ZB0004E-2601050018,1
7245ZB0004E-2601050017,1
7245ZB0004E-2601050016,1
7245ZB0004E-2601050015,1
7245ZB0004E-2601050014,1
7245ZB0004E-2601050013,1
7245ZB0004E-2601050012,1
7245ZB0004E-2601050011,1
7245ZB0004E-2601050010,1
7245ZB0004E-2601050009,1
7245ZB0004E-2601050008,1
7245ZB0004E-2601050007,1
7245ZB0004E-2601050006,1
7245ZB0004E-2601050005,1
7245ZB0004E-2601050004,1
7245ZB0004E-2601050003,1
7245ZB0004E-2601050002,1
7245ZB0004E-2601050001,1
7245ZB0004E-2512220019,1
7245ZB0004E-2512220017,1
7245ZB0004E-2512220015,1
7245ZB0004E-2512220014,1
7245ZB0004E-2512220013,1
7245ZB0004E-2512220012,1
7245ZB0004E-2512220011,1
7245ZB0004E-2512220010,1
7245ZB0004E-2512220009,1
7245ZB0004E-2512220008,1
7245ZB0004E-2512220007,1
7245ZB0004E-2512220006,1
7245ZB0004E-2512220005,1
7245ZB0004E-2512220004,1
7245ZB0004E-2512220002,1
7245ZB0004E-2512220001,1
7245ZB0004E-2512170008,1
7245ZB0004E-2512170007,1
7245ZB0004E-2512170006,1
7245ZB0004E-2512170005,1
7245ZB0004E-2512170004,1
7245ZB0004E-2512170003,1
7245ZB0004E-2512170002,1
7245ZB0004E-2512170001,1
7245ZB0004E-2512160009,1
7245ZB0004E-2512160008,1
7245ZB0004E-2512160006,1
7245ZB0004E-2512160005,1
7245ZB0004E-2512160004,1
7245ZB0004E-2512160003,1
7245ZB0004E-2512160002,1
7245ZB0004E-2512160001,1
7245ZB0004E-2512120006,1
7245ZB0004E-2512120005,1
7245ZB0004E-2512120003,1
7245ZB0004E-2512120004,1
7245ZB0004E-2512100006,1
7245ZB0004E-2512100004,1
7245ZB0004E-2512100005,1
7245ZB0004E-2512100003,1
7245ZB0004E-2512100002,1
7245ZB0004E-2512050006,1
7245ZB0004E-2512050005,1
7245ZB0004E-2512050004,1
7245ZB0004E-2512050003,1
7245ZB0004E-2512050002,1
7245ZB0004E-2511250005,1
7245ZB0004E-2511250004,1
7245ZB0004E-2511250003,1
7245ZB0004E-2511250002,1
7245ZB0004E-2511250001,1
7245ZB0004E-2511120003,1
7001S830001-2512050002,1
7001S830001-2512050001,1
7001S830001-2510160001,1
7001S830001-2511180002,1
7001S830001-2511180001,1
7001SE9189D-2601060004,1
7001SE9189D-2601060003,1
7001SE9189D-2601060002,1
7001SE9189D-2601060001,1
7001SE9189D-2512230004,1
7001SE9189D-2512230002,1
7001SE9189D-2512230003,1
7001SE9189D-2512230001,1
7001SE9189D-2512160002,1
7001SE9189D-2512160001,1
7001SE9189D-2512070002,1
7001SE9189D-2512070001,1
7001SE9189D-2511110005,1
7001SE9189D-2511110007,1
7001SE9189D-2511110004,1
7001SE9189D-2511110003,1
49111009-2506250051,1
49111009-2506250056,1
49111009-2506250057,1
49111009-2506250058,1
49111009-2506250059,1
49111009-2506250055,1
49111009-2506250060,1
49111009-2506250036,1
49111009-2506250031,1
49111009-2506250037,1
49111009-2506250032,1
49111009-2506250038,1
49111009-2506250033,1
49111009-2506250039,1
49111009-2506250034,1
49111009-2506250040,1
49111009-2506250035,1
49111009-2506250041,1
49111009-2506250050,1
49111009-2506250042,1
49111009-2506250049,1
49111009-2506250043,1
49111009-2506250048,1
49111009-2506250044,1
