ORIGINAL (Part No.),ORIGINAL (Part Sys),GRUPO (ID),REEMPLAZO (Part No.),REEMPLAZO (Part Sys)
EAE65346001,EAE65346001,1,EAE63087201,EAE63087201
EAH62315401,EAH62315401,2,0DR100009CC,0DR100009CC
EAN66254201,EAN66254201,3,EAN62738301,EAN62738301
EAN60998102,EAN60998102,4,EAN63550001,EAN63550001
EAN66402001,EAN66402001,5,EAN66402002,EAN66402002
0IKE78050AB,0IKE78050AB,6,0ILNRKE018A,XILNRKE018A
0ISTL00066A,0ISTL00066A,7,0IKE650030C,0IKE650030C
0IPMGKE028A,0IPMGKE028A,8,0IPMGKE058B,0IPMGKE058B
0ISTLKE002A,0ISTLKE002A,8,0IPMGKE058B,0IPMGKE058B
EAY64489501,EAY64489501,9,EAN66368601,EAN66368601
EAY64489502,EAY64489502,9,EAN66368601,EAN66368601
EBK64032001,EBK64032001,10,EBK63371801,EBK63371801
EBB61181301,EBB61181301,10,EBK63371801,EBK63371801
EBB60921801,EBB60921801,11,EBB30556201,EBB30556201
6920ALZ001A,6920ALZ001A,11,EBB30556201,EBB30556201
EBB60921901,EBB60921901,12,6920JB2009B,6920JB2009B
6908JB8003A,6908JB8003A,13,6908JB8002A,6908JB8002A
EAE41329702,EAE41329702,14,EAE41329701,EAE41329701
0CE477EH618,XCE477EH618,15,0CE477EH618,0CE477EH618
0CE4771H619,0CE4771H619,15,0CE477EH618,0CE477EH618
EAE66236707,EAE66236707,15,0CE477EH618,0CE477EH618
EAE64582201,EAE64582201,15,0CE477EH618,0CE477EH618
0CE227EF638,0CE227EF638,16,0CE227BF638,0CE227BF638
0CE2271F638,0CE2271F638,16,0CE227BF638,0CE227BF638
0CE227BH638,0CE227BH638,17,EAE66255803,EAE66255803
0CE227AH658,0CE227AH658,17,EAE66255803,EAE66255803
0CE107CF638,0CE107CF638,18,0CE107CF619,0CE107CF619
0CE107EH638,0CE107EH638,19,0CE107ZH638,0CE107BH638
0CE107BH638,XCE107BH638,19,0CE107ZH638,0CE107BH638
0CE107EH638,XCE107EH638,19,0CE107ZH638,0CE107BH638
0CE107AH658,0CE107AH658,19,0CE107ZH638,0CE107BH638
EAE66255812,EAE66255812,19,0CE107ZH638,0CE107BH638
0CE476AH638,0CE476AH638,20,EAE66255802,0CE476AHK18
0CE476EH638,0CE476EH638,20,EAE66255802,0CE476AHK18
EAE66236703,EAE66236703,20,EAE66255802,0CE476AHK18
0CE476AHK18,0,20,EAE66255802,0CE476AHK18
0CE476EK638,XCE476EK638,20,EAE66255802,0CE476AHK18
0CE476EK638,0CE476EK638,21,0CE476AK638,0CE476AK638
EAE66255811,EAE66255811,21,0CE476AK638,0CE476AK638
